URL,Email,Phone,SourceFile
https://www.murgoradvocates.co.ke/,,5456796844,law_firms_kenya_email_contact.csv
https://lsk.or.ke/contact/,,040948351,law_firms_kenya_email_contact.csv
https://uploads.mwp.mprod.getusinfo.com/uploads/sites/5/2022/09/Attorney-Contact-List-2022.pdf,info@akoadvocates.co.ke,020 200 2826,law_firms_kenya_email_contact.csv
https://www.cradvocatesllp.com/contact/,info@cradvocatesllp.com,007148877,law_firms_kenya_email_contact.csv
https://www.dlapiper.com/en/locations/africa/nairobi,james.kamau@ikm.dlapiperafrica.com,,law_firms_kenya_email_contact.csv
https://www.sheriaplex.com/law-firms/,info@noklaw.co.ke,02486-0010,law_firms_kenya_email_contact.csv
https://www.primerus.com/law-firm/njoroge-regeru-company/nairobi,,054981494,law_firms_kenya_email_contact.csv
https://www.dentons.com/en/global-presence/africa/kenya/nairobi,kiragu.kimani@dentons.com,+254 20 3258000,law_firms_kenya_email_contact.csv
https://kmco.co.ke/,,020-2210281,law_firms_kenya_email_contact.csv
https://www.cliffordchance.com/people_and_places/places/africa/east-africa.html,header_logo@2x.png,070061239,law_firms_kenya_email_contact.csv
https://www.kaplanstratton.com/lawyer-profile/,ASeur@kapstrat.com,254 722 2057,law_firms_kenya_email_contact.csv
https://ach-legal.com/affiliates/,info@adilzone.com,,law_firms_kenya_email_contact.csv
https://www.iflr1000.com/Firm/Cliffe-Dekker-Hofmeyr-Kieti-Law/Profile/40017,cdhkenya@cdhlegal.com,254 710 5601,law_firms_kenya_email_contact.csv
https://mutumakiptooadvocates.co.ke/contact/,info@mutumakiptooadvocates.co.ke,,law_firms_kenya_email_contact.csv
https://www.nortonrosefulbright.com/en-ke/services/6165a991/energy,,018427387,law_firms_kenya_email_contact.csv
https://cfllegal.com/,info@cfllegal.com,+254 20 444 0891,law_firms_kenya_email_contact.csv
https://www.dlapiperafrica.com/en/kenya/country-legal-notice.html,,063069299,law_firms_kenya_email_contact.csv
https://www.dentonshhm.com/en/office-details/nairobi,sigee.koech@dentons.com,002905269,law_firms_kenya_email_contact.csv
https://www.lawyershub.org/contact,info@lawyershubafrica.com,,law_firms_kenya_email_contact.csv
https://aztanlawfirm.net/contact/,info@aztanlawfirm.net,249 183 5753,law_firms_kenya_email_contact.csv
https://hklaw.org/contact-us/,law@hklaw.org,,law_firms_kenya_email_contact.csv
https://www.tripleoklaw.com/,,1694102181,law_firms_kenya_email_contact.csv
https://smsadvocates.co.ke/,info@smsadvocates.co.ke,2547579548,law_firms_kenya_email_contact.csv
https://olmllp.com/,info@olmllp.com,2541127539,law_firms_kenya_email_contact.csv
https://www.kabugu.co.ke/,info@kabugu.co.ke,+254 20 240 3005,law_firms_kenya_email_contact.csv
https://koyaadvocates.co.ke/,info@koyaadvocates.co.ke,2547317125,law_firms_kenya_email_contact.csv
https://www.karanjagisore.com/,info@karanjagisore.com,,law_firms_kenya_email_contact.csv
https://www.cnn.com/2025/08/10/us/california-newsom-trump-national-guard,,060213363,law_firms_kenya_email_contact.csv
https://www.bcgsearch.com/bestlawfirms/loc-2704102/california/los-angeles,,022112204,law_firms_kenya_email_contact.csv
https://lafla.org/,,00-399-4529,law_firms_kenya_email_contact.csv
https://www.justia.com/lawyers/california/los-angeles,,025061006,law_firms_kenya_email_contact.csv
https://www.edwardmartindalelaw.com/,contact@edwardmartindalelaw.com,(731) 660-1529,law_firms_kenya_email_contact.csv
https://www.britannica.com/topic/law,,04-131-2839,law_firms_kenya_email_contact.csv
https://tennesseefirm.com/,jerome@tennesseefirm.com,(731) 424-3315,law_firms_kenya_email_contact.csv
https://www.loeb.com/,,002556393,law_firms_kenya_email_contact.csv
https://www.fbi.gov/contact-us/international-offices,,04-685-4311,law_firms_kenya_email_contact.csv
https://www.nelsonmullins.com/locations/washington_d_c,chris.cushing@nelsonmullins.com,02-689-2800,law_firms_kenya_email_contact.csv
https://us.pg.com/contact-us/,MediaRelations@shared.pg.com,00 692 0132,law_firms_kenya_email_contact.csv
https://oag.ca.gov/contact/consumer-complaint-against-business-or-company,EERROffice@doj.ca.gov,,law_firms_kenya_email_contact.csv
https://acornlaw.co.ke/,,9789966530,law_firms_kenya_email_contact.csv
https://wawerukiharalaw.co.ke/,info@wawerukiharalaw.co.ke,2547176641,law_firms_kenya_email_contact.csv
