URL,Email,Phone,SourceFile
https://www.murgoradvocates.co.ke/,,5456796844,law_firms_kenya_contact_email.csv
https://uploads.mwp.mprod.getusinfo.com/uploads/sites/5/2022/09/Attorney-Contact-List-2022.pdf,info@akoadvocates.co.ke,020 200 2826,law_firms_kenya_contact_email.csv
https://www.dentons.com/en/global-presence/africa/kenya,sigee.koech@dentons.com,,law_firms_kenya_contact_email.csv
https://www.dlapiper.com/en/locations/africa/nairobi,james.kamau@ikm.dlapiperafrica.com,,law_firms_kenya_contact_email.csv
https://www.kaplanstratton.com/lawyer-profile/,ASeur@kapstrat.com,254 722 2057,law_firms_kenya_contact_email.csv
https://chambers.com/law-firm/munyao-muthama-and-kashindi-global-2:23067029,,015914185,law_firms_kenya_contact_email.csv
https://www.tripleoklaw.com/,,1694102181,law_firms_kenya_contact_email.csv
https://lsk.or.ke/contact/,,040948351,law_firms_kenya_contact_email.csv
https://www.robsonharrisadvocates.com/,janemwangi@robsonharris.com,254 722 3091,law_firms_kenya_contact_email.csv
https://wamaeallen.com/,,254 701 2782,law_firms_kenya_contact_email.csv
https://cfllegal.com/,info@cfllegal.com,+254 20 444 0891,law_firms_kenya_contact_email.csv
https://smsadvocates.co.ke/,info@smsadvocates.co.ke,2547579548,law_firms_kenya_contact_email.csv
https://www.lawyershub.org/contact,info@lawyershubafrica.com,,law_firms_kenya_contact_email.csv
https://kmco.co.ke/,,020-2210281,law_firms_kenya_contact_email.csv
https://www.cliffordchance.com/people_and_places/places/africa/east-africa.html,header_logo@2x.png,070061239,law_firms_kenya_contact_email.csv
https://mmsadvocates.co.ke/,,075434788,law_firms_kenya_contact_email.csv
https://www.oraro.co.ke/,,1255051020,law_firms_kenya_contact_email.csv
https://www.nortonrosefulbright.com/en-ke/services/6165a991/energy,,018427387,law_firms_kenya_contact_email.csv
https://www.primerus.com/law-firm/njoroge-regeru-company/nairobi,,054981494,law_firms_kenya_contact_email.csv
https://www.nortonrosefulbright.com/en-ke/global-statements/legal-notices-and-disclaimers/germany,info@rechtsanwaltskammer-duesseldorf.de,018427387,law_firms_kenya_contact_email.csv
https://aztanlawfirm.net/contact/,info@aztanlawfirm.net,249 183 5753,law_firms_kenya_contact_email.csv
https://gowlingwlg.com/en/global-reach/africa,,085348083,law_firms_kenya_contact_email.csv
