URL,Email,SourceFile
https://www.komen.org/community/dmv-tri-state/washington-dc/,ajohnson@komen.org,washington_dc_breast_cancer_charities_contact_email.csv
https://smithcenter.org/,programs@smithcenter.org,washington_dc_breast_cancer_charities_contact_email.csv
https://breastcancernow.org/about-us/contact-us,hello@breastcancernow.org,washington_dc_breast_cancer_charities_contact_email.csv
https://www.cancerresearchuk.org/about-cancer/breast-cancer/living-with/resources-books,info@againstbreastcancer.org.uk,washington_dc_breast_cancer_charities_contact_email.csv
https://hersbreastcancerfoundation.org/,info@hersbreastcancerfoundation.org,washington_dc_breast_cancer_charities_contact_email.csv
https://lobularbreastcancer.org/,info@lobularbreastcancer.org,washington_dc_breast_cancer_charities_contact_email.csv
https://cancer.ca/en/ways-to-give/breast-cancer-awareness-month,info@cancer.ca,washington_dc_breast_cancer_charities_contact_email.csv
https://kellyshiresfoundation.org/,info@kellyshiresfooundation.org,washington_dc_breast_cancer_charities_contact_email.csv
https://www.curefoundation.com/,infocure@fondationcure.com,washington_dc_breast_cancer_charities_contact_email.csv
https://www.cancercare.org/diagnosis/breast_cancer,info@cancercare.org,washington_dc_breast_cancer_charities_contact_email.csv
https://mbcproject.org/,info@joincountmein.org,washington_dc_breast_cancer_charities_contact_email.csv
https://www.macmillan.org.uk/cancer-information-and-support/breast-cancer,cancerinformationteam@macmillan.org.uk,washington_dc_breast_cancer_charities_contact_email.csv
https://acsqc.ca/content/home-0,acsq.bcaq.board@gmail.com,washington_dc_breast_cancer_charities_contact_email.csv
https://askjan.org/organizations/National-Breast-Cancer-Coalition.cfm,info@breastcancerdeadline2020.org,washington_dc_breast_cancer_charities_contact_email.csv
http://www.judithalese.org/,LeseCancerFdn@aol.com,washington_dc_breast_cancer_charities_contact_email.csv
https://canceradvocacy.org/home/,info@canceradvocacy.org,washington_dc_breast_cancer_charities_contact_email.csv
https://cancerresearchsociety.ca/,info@src-crs.ca,washington_dc_breast_cancer_charities_contact_email.csv
https://bringinghopehome.org/nominate/resources/,info@bremfoundation.org,washington_dc_breast_cancer_charities_contact_email.csv
