URL,Email,Phone,SourceFile
https://www.bidmc.org/centers-and-departments/social-work/clinical-services/hematology-and-oncology/support-groups,jlabell1@bidmc.harvard.edu,5943268524,boston_breast_cancer_support_group_contact_email.csv
https://www.dana-farber.org/patient-family/support-services/support-groups-seminars,bereavement_program@dfci.harvard.edu,877-441-3324,boston_breast_cancer_support_group_contact_email.csv
https://www.massgeneral.org/cancer-center/patient-and-family-resources/patient-education/workshops-and-support-groups,wlcpforum@partners.org,(617) 726-1967,boston_breast_cancer_support_group_contact_email.csv
https://www.bidmc.org/centers-and-departments/cancer-center/cancer-center-programs-and-services/breastcare-center/breast-cancer-support,,5943268524,boston_breast_cancer_support_group_contact_email.csv
https://www.dana-farber.org/cancer-care/treatment/breast-oncology/programs/metastatic-breast-cancer/support-education,rgermano@partners.org,877-441-3324,boston_breast_cancer_support_group_contact_email.csv
https://www.faculty.umb.edu/russell_schutt/SupportGroups.htm,rdrozek@partners.org,(617) 726-1045,boston_breast_cancer_support_group_contact_email.csv
https://www.nbcancerresource.org/support-groups,info@ocawareness.org,1557942186,boston_breast_cancer_support_group_contact_email.csv
https://www.cancersupportmass.org/,,6527092276,boston_breast_cancer_support_group_contact_email.csv
https://www.komen.org/support-resources/support/support-groups/,helpline@komen.org,877-465-6636,boston_breast_cancer_support_group_contact_email.csv
https://www.nwh.org/mass-general-cancer-center/cancer-patient-resources/support-groups,mgccnwhsupportgroups@partners.org,617-243-6000,boston_breast_cancer_support_group_contact_email.csv
https://www.survivingbreastcancer.org/,info@survivingbreastcancer.org,1727970514,boston_breast_cancer_support_group_contact_email.csv
https://www.cancer-connection.org/support-groups,,053217512,boston_breast_cancer_support_group_contact_email.csv
https://www.cancer.org/support-programs-and-services/patient-lodging/hope-lodge/boston.html,,00-227-2345,boston_breast_cancer_support_group_contact_email.csv
https://www.cancercare.org/diagnosis/breast_cancer,info@cancercare.org,021628884,boston_breast_cancer_support_group_contact_email.csv
